Name;Aktuierung Bein 1;;;;;;Aktuierung Bein 2;;;;;;Aktuierung Bein 3;;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3PPRRRR1G1P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G1P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G1P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G1P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G2P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G2P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G2P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G2P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G2P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G2P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G3P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G3P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G3P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G3P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G3P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G3P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G4P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G4P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G4P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G4P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G4P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
P3PPRRRR1G4P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaaa
