Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta1,alpha2
P3PRRRR8G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;pa
P3PRRRR8G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;op
P3PRRRR8G1P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;ap
P3PRRRR8G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;pa
P3PRRRR8G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;op
P3PRRRR8G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;op
P3PRRRR8G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;pa
P3PRRRR8G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;oo
P3PRRRR8G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;op
